#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -454948.6138653495 9.723529875336681
10 60 -5 -4 0.5 1 91905.26932805894 0.948536335650715
10 60 -5 -4 1 1.5 90142.5146074684 0.6564820826024516
10 60 -5 -4 1.5 2 70505.05207228442 3.28183610283304
10 60 -5 -4 2 2.5 55418.86670238679 2.314061286240758
10 60 -5 -4 2.5 3 44499.80362119837 1.693091752975306
10 60 -5 -4 3 3.5 36459.93376062837 1.26448295879527
10 60 -5 -4 3.5 4 30382.44616258502 0.9631204920697201
10 60 -5 -4 4 4.5 25672.34519976411 0.7450305213169486
10 60 -5 -4 4.5 5 21941.59445326871 0.5792469924635952
10 60 -5 -4 5 5.5 18931.03262612473 0.927440446736
10 60 -5 -4 5.5 6 16463.02105178113 0.36034554752041
10 60 -5 -4 6 6.5 14412.47024126668 0.4645892681528494
10 60 -5 -4 6.5 7 12689.20681421229 0.2409671483619604
10 60 -5 -4 7 7.5 11226.77982787202 0.1996604542764544
10 60 -5 -4 7.5 8 9975.307234907596 0.1653948895655049
10 60 -5 -4 8 8.5 8896.601948145677 0.1394831664274534
10 60 -5 -4 8.5 9 7960.977891936834 0.1209755833997406
10 60 -5 -4 9 9.5 7145.00005396971 0.1068300593260574
10 60 -5 -4 9.5 10 6429.93962879855 0.0929101464616906
10 60 -5 -4 10 10.5 5800.628075943235 0.077547497933665
10 60 -5 -4 10.5 11 5244.666207964448 0.06528891826656036
10 60 -5 -4 11 11.5 4751.819170858409 0.2120006087561705
10 60 -5 -4 11.5 12 4313.560155744843 0.1564100256955498
10 60 -5 -4 12 12.5 3922.737996657665 0.1124695721487114
10 60 -5 -4 12.5 13 3573.309701975523 0.07792571005074933
10 60 -5 -4 13 13.5 3260.136055364792 0.05042211870568281
10 60 -5 -4 13.5 14 2978.829801805452 0.02889264190707763
10 60 -5 -4 14 14.5 2725.623884164945 0.0235174008184913
10 60 -5 -4 14.5 15 2497.266718996753 0.02326758271055951
10 60 -5 -4 15 16 4395.141291957763 0.1163247433360084
10 60 -5 -4 16 17 3716.103405231089 0.03092345415916498
10 60 -5 -4 17 18 3155.565849276686 0.02542985172158296
10 60 -5 -4 18 19 2690.224285657841 0.02092517932987903
10 60 -5 -4 19 20 2301.913786661783 0.01736634199369291
10 60 -5 -4 20 21 1976.336237707577 0.01454922335551601
10 60 -5 -4 21 22 1702.160664404034 0.01200258330504766
10 60 -5 -4 22 23 1470.329331298113 0.01029572438915238
10 60 -5 -4 23 24 1273.562522353308 0.01028457578922826
10 60 -5 -4 24 25 1105.962519101877 0.01128194960165274
10 60 -5 -4 25 26 962.7367365023316 0.009517942015918379
10 60 -5 -4 26 27 839.9625607500398 0.007312810036069095
10 60 -5 -4 27 28 734.411308452175 0.007680960603693165
10 60 -5 -4 28 29 643.4192704918732 0.008155122204470899
10 60 -5 -4 29 30 564.7768363045481 0.008770136763928349
10 60 -5 -4 30 31 496.6428028632961 0.01003509474304565
10 60 -5 -4 31 32 437.4761775011878 0.01100450500882744
10 60 -5 -4 32 33 385.9849269009048 0.0110038636037757
10 60 -5 -4 33 34 341.0822519769397 0.01002317461268376
10 60 -5 -4 34 35 301.8476458583226 0.008624631126281201
10 60 -5 -4 35 36 267.5014339119011 0.007533296572944437
10 60 -5 -4 36 37 237.3818530499798 0.00687670796426687
10 60 -5 -4 37 38 210.9238841072938 0.006252460016810346
10 60 -5 -4 38 39 187.6445980759571 0.005852399605458913
10 60 -5 -4 39 40 167.13094304247 0.005768816943316324
10 60 -5 -4 40 42 282.0574709896679 0.01154800970340375
10 60 -5 -4 42 44 225.1986762833931 0.01106125443268979
10 60 -5 -4 44 46 180.5078828559603 0.001044705160524018
10 60 -5 -4 46 48 145.2119236678434 0.00621383355004923
10 60 -5 -4 48 50 117.2117836461741 0.002371149497847114
10 60 -5 -4 50 52 94.90727790588072 0.001727208388700774
10 60 -5 -4 52 54 77.07159391463853 0.0004419524634471372
10 60 -5 -4 54 56 62.75786653442531 0.0003596542779220613
10 60 -5 -4 56 58 51.23216188086958 0.0002938763573254732
10 60 -5 -4 58 60 41.92205805340249 0.0002405813787831335
10 60 -5 -4 60 65 74.82246476319999 0.0004302420659172412
10 60 -5 -4 65 70 46.09758188996656 0.0002665675446280602
10 60 -5 -4 70 80 46.67729853399164 0.0008886650594135403
10 60 -5 -4 80 90 18.55709264337155 0.0004972089226740195
10 60 -5 -4 90 100 7.498595217068526 0.0002114386848086625
10 60 -4 -3.5 0 0.5 -315522.1025861781 5.356632203736808
10 60 -4 -3.5 0.5 1 33964.79180652945 0.5768040826951619
10 60 -4 -3.5 1 1.5 44547.26326170523 2.0843005661809
10 60 -4 -3.5 1.5 2 36962.12613960327 1.53180138690368
10 60 -4 -3.5 2 2.5 29927.08200889517 1.13103381431938
10 60 -4 -3.5 2.5 3 24500.74547385156 0.8396370093396399
10 60 -4 -3.5 3 3.5 20366.20869135542 0.6089846323702659
10 60 -4 -3.5 3.5 4 17170.26786503677 0.4881384320360667
