#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -443821.9894385876 10.17605761217419
10 60 -5 -4 0.5 1 96746.25579157819 2.679612237421679
10 60 -5 -4 1 1.5 92322.11204422942 2.284929492074298
10 60 -5 -4 1.5 2 71705.43772895925 3.360485091703595
10 60 -5 -4 2 2.5 56152.19621270429 2.381976229888096
10 60 -5 -4 2.5 3 44977.98528753969 1.741407937443
10 60 -5 -4 3 3.5 36786.3698033055 1.296767084459134
10 60 -5 -4 3.5 4 30613.18589826336 0.9866164420018322
10 60 -5 -4 4 4.5 25840.07468392779 0.760872448230657
10 60 -5 -4 4.5 5 22066.43605489198 0.5893503256484109
10 60 -5 -4 5 5.5 19025.96240791278 0.4610894738507341
10 60 -5 -4 5.5 6 16536.43052538706 0.7706362659591832
10 60 -5 -4 6 6.5 14470.29529158877 0.2971849269433733
10 60 -5 -4 6.5 7 12735.38920813149 0.5136800229774963
10 60 -5 -4 7 7.5 11264.3063304251 0.1997395920061535
10 60 -5 -4 7.5 8 10006.14843903666 0.164554666431286
10 60 -5 -4 8 8.5 8922.31135816112 0.1389472289756668
10 60 -5 -4 8.5 9 7982.622089760266 0.1208513721167037
10 60 -5 -4 9 9.5 7163.438740174269 0.1075169553132582
10 60 -5 -4 9.5 10 6445.796503947708 0.09363122582908545
10 60 -5 -4 10 10.5 5814.368264572961 0.07814728406356153
10 60 -5 -4 10.5 11 5256.682763928458 0.065378230724491
10 60 -5 -4 11 11.5 4762.39172710437 0.2104523287616757
10 60 -5 -4 11.5 12 4322.911585905607 0.1541635413850599
10 60 -5 -4 12 12.5 3931.064515006426 0.111403682085438
10 60 -5 -4 12.5 13 3580.756038340634 0.07738791100609888
10 60 -5 -4 13 13.5 3266.816617322421 0.04936390907641908
10 60 -5 -4 13.5 14 2984.849807286504 0.02802713975052029
10 60 -5 -4 14 14.5 2731.071005528488 0.02345345959884071
10 60 -5 -4 14.5 15 2502.208287060169 0.02336683049816202
10 60 -5 -4 15 16 4403.735689796366 0.1204348295777891
10 60 -5 -4 16 17 3723.30064122618 0.03342676509555531
10 60 -5 -4 17 18 3161.652088351053 0.02550832283259297
10 60 -5 -4 18 19 2695.428180147838 0.02097007396241679
10 60 -5 -4 19 20 2306.406233158655 0.01741455742785547
10 60 -5 -4 20 21 1980.251520672654 0.0145889247901323
10 60 -5 -4 21 22 1705.604130546542 0.01204055272955884
10 60 -5 -4 22 23 1473.381118899534 0.01031477784408708
10 60 -5 -4 23 24 1276.286580604534 0.008711584628372293
10 60 -5 -4 24 25 1108.407833954608 0.009434649077320501
10 60 -5 -4 25 26 964.9419167155565 0.008089999823368998
10 60 -5 -4 26 27 841.9587716016752 0.006447981740393516
10 60 -5 -4 27 28 736.2230395616803 0.007482689662310804
10 60 -5 -4 28 29 645.0664988952922 0.008366087959416291
10 60 -5 -4 29 30 566.2766382417072 0.009103717341758966
10 60 -5 -4 30 31 498.0096906504979 0.01033216442493767
10 60 -5 -4 31 32 438.7224354793642 0.01121031427044272
10 60 -5 -4 32 33 387.1213795699028 0.01105706021263586
10 60 -5 -4 33 34 342.1185504196418 0.009936579888176311
10 60 -5 -4 34 35 302.7924098186797 0.008523430813340838
10 60 -5 -4 35 36 268.3624932243583 0.007518783826014896
10 60 -5 -4 36 37 238.1664479017869 0.006971634936235205
10 60 -5 -4 37 38 211.6385941395887 0.00641854918211493
10 60 -5 -4 38 39 188.2954584806918 0.006033778816572521
10 60 -5 -4 39 40 167.7235008852737 0.005914784688712871
10 60 -5 -4 40 42 283.0873595046335 0.01153291612405383
10 60 -5 -4 42 44 226.0507601183504 0.01074005324312566
10 60 -5 -4 44 46 181.2126435706054 0.008615971349257734
10 60 -5 -4 46 48 145.794413477715 0.005652446151970025
10 60 -5 -4 48 50 117.6931935326482 0.002140748157430039
