#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -467520.1733104453 10.11655173165491
10 60 -5 -4 0.5 1 97262.8410649273 4.211359595748945
10 60 -5 -4 1 1.5 94361.01228265655 3.327906186925247
10 60 -5 -4 1.5 2 73617.9300826878 2.494985934579745
10 60 -5 -4 2 2.5 57783.83725085964 1.919267360615777
10 60 -5 -4 2.5 3 46349.33700967822 1.502212798674009
10 60 -5 -4 3 3.5 37940.41417008936 1.187366779071453
10 60 -5 -4 3.5 4 31589.44088471646 0.9421462679165415
10 60 -5 -4 4 4.5 26670.8133717236 0.7500533672573511
10 60 -5 -4 4.5 5 22777.2379439707 0.5958733600200503
10 60 -5 -4 5 5.5 19637.15860699903 0.4756638772123551
10 60 -5 -4 5.5 6 17064.37245279252 0.3846484121240792
10 60 -5 -4 6 6.5 14927.84463768114 0.3121954623729835
10 60 -5 -4 6.5 7 13133.25337133679 0.2554108924014145
10 60 -5 -4 7 7.5 11611.10960625785 0.2111103506867948
10 60 -5 -4 7.5 8 10309.21276518332 0.1758736879073695
10 60 -5 -4 8 8.5 9187.637073655937 0.1473081746771641
10 60 -5 -4 8.5 9 8215.342083948641 0.1244262209493172
10 60 -5 -4 9 9.5 7367.839134022506 0.1051994999806993
10 60 -5 -4 9.5 10 6625.550747566452 0.08924156172997755
10 60 -5 -4 10 10.5 5972.638978637885 0.07693979651776317
10 60 -5 -4 10.5 11 5396.154084138999 0.06633713141218323
10 60 -5 -4 11 11.5 4885.405785232675 0.2133261078042779
10 60 -5 -4 11.5 12 4431.49412840704 0.1560863055074151
10 60 -5 -4 12 12.5 4026.952492033306 0.1107465230993512
10 60 -5 -4 12.5 13 3665.475383603756 0.07508386452536797
10 60 -5 -4 13 13.5 3341.704073003188 0.04707008830018822
10 60 -5 -4 13.5 14 3051.060490640993 0.02980707100368818
10 60 -5 -4 14 14.5 2789.614956189561 0.02643302254455193
10 60 -5 -4 14.5 15 2553.977633736431 0.02297490377713984
10 60 -5 -4 15 16 4489.983922430121 0.1502850536217011
10 60 -5 -4 16 17 3790.656568296674 0.03194698993274869
10 60 -5 -4 17 18 3214.152468385526 0.02596680351916802
10 60 -5 -4 18 19 2736.212964021946 0.02095714761344425
10 60 -5 -4 19 20 2337.939430497633 0.01762690121222477
10 60 -5 -4 20 21 2004.476234234155 0.01476839579709122
10 60 -5 -4 21 22 1724.050842793331 0.01343593169235646
10 60 -5 -4 22 23 1487.267738175014 0.01441670991357569
10 60 -5 -4 23 24 1286.575200256965 0.01457867331396301
10 60 -5 -4 24 25 1115.868667229927 0.01345655497175358
10 60 -5 -4 25 26 970.1853384554356 0.01233364987774621
