#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -483117.6129431738 10.26224086765433
10 60 -5 -4 0.5 1 96478.32036957606 4.364473749665194
10 60 -5 -4 1 1.5 95008.12383857963 3.438219826246495
10 60 -5 -4 1.5 2 74404.05370939907 2.570717299895477
10 60 -5 -4 2 2.5 58519.59533556743 1.971981152550143
10 60 -5 -4 2.5 3 47003.02408799116 1.539579498188687
10 60 -5 -4 3 3.5 38513.69628271015 1.214524314440496
10 60 -5 -4 3.5 4 32091.31335469406 0.9624434094694152
10 60 -5 -4 4 4.5 27110.95666239167 1.201796329321951
10 60 -5 -4 4.5 5 23164.5185278494 0.6083657231756661
10 60 -5 -4 5 5.5 19979.00922281847 0.4860299438951188
10 60 -5 -4 5.5 6 17367.062707398 0.8475318825876457
10 60 -5 -4 6 6.5 15196.70194541534 0.3203056521633698
10 60 -5 -4 6.5 7 13372.69342375263 0.2624722382570326
10 60 -5 -4 7 7.5 11824.88455569233 0.2170753719092318
10 60 -5 -4 7.5 8 10500.51243418677 0.1808612786389858
10 60 -5 -4 8 8.5 9359.18842641256 0.1515017957899545
10 60 -5 -4 8.5 9 8369.488531327243 0.1279067335799482
10 60 -5 -4 9 9.5 7506.604073677605 0.1080687358016803
10 60 -5 -4 9.5 10 6750.688448576073 0.09164260194575036
10 60 -5 -4 10 10.5 6085.675920594012 0.07902386477962864
10 60 -5 -4 10.5 11 5498.422916976411 0.0681877199021983
10 60 -5 -4 11 11.5 4978.073379433885 0.2191963152536118
10 60 -5 -4 11.5 12 4515.584863735755 0.1603924809378441
10 60 -5 -4 12 12.5 4103.367869722746 0.1138250191397674
10 60 -5 -4 12.5 13 3735.010531335853 0.0772025676501471
10 60 -5 -4 13 13.5 3405.06173869778 0.04844207319229099
10 60 -5 -4 13.5 14 3108.862975419723 0.03061796247675375
10 60 -5 -4 14 14.5 2842.414310256413 0.02713017352334646
10 60 -5 -4 14.5 15 2602.264413451237 0.02361089446412734
10 60 -5 -4 15 16 4574.718978841455 0.1529482189807823
10 60 -5 -4 16 17 3861.998717386949 0.03278607516358534
10 60 -5 -4 17 18 3274.467053535087 0.02665512161047445
10 60 -5 -4 18 19 2787.402368746375 0.02150722564829266
10 60 -5 -4 19 20 2381.542146071007 0.01808805051996387
10 60 -5 -4 20 21 2041.743094630138 0.01514576855242922
10 60 -5 -4 21 22 1756.004067415113 0.01330224956655002
10 60 -5 -4 22 23 1514.746851182024 0.01446801891847826
10 60 -5 -4 23 24 1310.272869603171 0.01481286321632069
10 60 -5 -4 24 25 1136.358960391005 0.01382950187394272
10 60 -5 -4 25 26 987.9460484061939 0.01283145627292015
10 60 -5 -4 26 27 860.900836655083 0.01205568049431349
10 60 -5 -4 27 28 751.8287007689788 0.01178213233606584
10 60 -5 -4 28 29 657.9268419347873 0.01178475865708606
10 60 -5 -4 29 30 576.8740644276395 0.01116757354532183
10 60 -5 -4 30 31 506.7405528927993 0.01065464816906569
10 60 -5 -4 31 32 445.9140119732751 0.01006796420819001
10 60 -5 -4 32 33 393.0424243304807 0.009189969931526321
10 60 -5 -4 33 34 346.9886435712021 0.008514935309449356
10 60 -5 -4 34 35 306.7933882659853 0.008023710017312169
10 60 -5 -4 35 36 271.6448155728932 0.007403530535327718
10 60 -5 -4 36 37 240.8537350847076 0.006493293699321612
10 60 -5 -4 37 38 213.8334437249824 0.00589464021720687
10 60 -5 -4 38 39 190.0834384701816 0.005483223593557796
10 60 -5 -4 39 40 169.1749412560802 0.005098776769273172
10 60 -5 -4 40 42 285.203081656996 0.007935302312773729
10 60 -5 -4 42 44 227.3993705129855 0.00554785173522987
10 60 -5 -4 44 46 182.041363476097 0.003804005944516575
10 60 -5 -4 46 48 146.2740383133844 0.001825994077279347
10 60 -5 -4 48 50 117.9409603021594 0.000692090649906163
10 60 -5 -4 50 52 95.40161452466329 0.001311491276524634
10 60 -5 -4 52 54 77.40155130806369 0.002832976199414361
10 60 -5 -4 54 56 62.9730722445841 0.0003692653097076004
10 60 -5 -4 56 58 51.36787247953842 0.0003006959391669284
10 60 -5 -4 58 60 42.00341674351503 0.0002461809633658163
10 60 -5 -4 60 65 74.89218444604049 0.0004407974091122924
10 60 -5 -4 65 70 46.0872592819282 0.0002723488405891317
10 60 -5 -4 70 80 46.62985082862652 0.0009646006911978589
10 60 -5 -4 80 90 18.53811089208619 0.0004518960889079437
10 60 -5 -4 90 100 7.495522556980021 0.0002153579555717045
10 60 -4 -3.5 0 0.5 -324096.0891176426 14.70675245282473
10 60 -4 -3.5 0.5 1 38897.97906927479 0.1238353258449933
10 60 -4 -3.5 1 1.5 48273.61351069762 2.093054337332433
10 60 -4 -3.5 1.5 2 39671.30308258875 1.472237297988613
10 60 -4 -3.5 2 2.5 31970.07701933437 1.081467876723764
10 60 -4 -3.5 2.5 3 26092.63226614441 0.8435298449549009
10 60 -4 -3.5 3 3.5 21638.92199909877 0.6741977379788295
10 60 -4 -3.5 3.5 4 18208.77135571734 0.5345694701391039
10 60 -4 -3.5 4 4.5 15514.39386998889 0.4233061196755443
10 60 -4 -3.5 4.5 5 13358.13646288585 0.3354419882361981
10 60 -4 -3.5 5 5.5 11603.71799432653 0.269168546774381
10 60 -4 -3.5 5.5 6 10155.57134365565 0.2193000697370735
10 60 -4 -3.5 6 6.5 8945.310163051099 0.1792934568893543
10 60 -4 -3.5 6.5 7 7923.000235932272 0.1475453938774081
10 60 -4 -3.5 7 7.5 7051.467843870159 0.1228829572064569
10 60 -4 -3.5 7.5 8 6302.534362234878 0.1030503883985148
10 60 -4 -3.5 8 8.5 5654.47940272598 0.08652013691607863
10 60 -4 -3.5 8.5 9 5090.306394458352 0.07276445574916579
10 60 -4 -3.5 9 9.5 4596.528685024794 0.06134319686134404
10 60 -4 -3.5 9.5 10 4162.309475855669 0.05217529835772439
10 60 -4 -3.5 10 10.5 3778.843468932758 0.04517135788773885
10 60 -4 -3.5 10.5 11 3438.903655372808 0.04164398100647304
10 60 -4 -3.5 11 11.5 3136.503220534941 0.1409324530154663
10 60 -4 -3.5 11.5 12 2866.642511675552 0.1075486027334591
10 60 -4 -3.5 12 12.5 2625.117387552064 0.08101786694714974
10 60 -4 -3.5 12.5 13 2408.368458451961 0.05991584792400317
10 60 -4 -3.5 13 13.5 2213.364892757097 0.04317303700236153
10 60 -4 -3.5 13.5 14 2037.512317546202 0.0299480816418054
10 60 -4 -3.5 14 14.5 1878.578906766117 0.02133113412401144
10 60 -4 -3.5 14.5 15 1734.637152005816 0.01921348428868441
10 60 -4 -3.5 15 16 3089.274155953816 0.03280322590217111
10 60 -4 -3.5 16 17 2655.511322037032 0.04348436466852945
10 60 -4 -3.5 17 18 2293.936833236023 0.0785233886504102
10 60 -4 -3.5 18 19 1990.639856918522 0.09654483217309462
10 60 -4 -3.5 19 20 1734.751574288718 0.01144331371551743
10 60 -4 -3.5 20 21 1517.700561756147 0.009614623376364761
10 60 -4 -3.5 21 22 1332.671563301659 0.008237458079520366
10 60 -4 -3.5 22 23 1174.204457581794 0.007056716670376773
10 60 -4 -3.5 23 24 1037.893261859301 0.006111105445597786
10 60 -4 -3.5 24 25 920.1607125606927 0.005279006357682192
10 60 -4 -3.5 25 26 818.0834060208753 0.006876998161374104
10 60 -4 -3.5 26 27 729.2592529428363 0.008164568493498336
10 60 -4 -3.5 27 28 651.703020869959 0.008870837323797787
10 60 -4 -3.5 28 29 583.7671425473088 0.009341696459955529
10 60 -4 -3.5 29 30 524.0769812159211 0.009769007579279787
10 60 -4 -3.5 30 31 471.4805310824487 0.01025132797491324
10 60 -4 -3.5 31 32 425.0082763770214 0.01091295405097981
10 60 -4 -3.5 32 33 383.8407453188866 0.01164229402564843
10 60 -4 -3.5 33 34 347.2825657423988 0.01226891184671786
10 60 -4 -3.5 34 35 314.7417289984988 0.01266862944561353
10 60 -4 -3.5 35 36 285.712130400578 0.01287029759322422
10 60 -4 -3.5 36 37 259.7600135971059 0.01288187492633597
10 60 -4 -3.5 37 38 236.5124582997241 0.00117775020956401
10 60 -4 -3.5 38 39 215.6474748372938 0.001067862155679222
10 60 -4 -3.5 39 40 196.8862669646111 0.00097071877127064
