#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -507277.2054538755 9.67324332165299
10 60 -5 -4 0.5 1 86655.87155747678 0.3444124123052461
10 60 -5 -4 1 1.5 90722.11572668713 3.425380660861265
10 60 -5 -4 1.5 2 72103.62399501182 2.375269447846222
10 60 -5 -4 2 2.5 57178.64798579211 1.714317927944649
10 60 -5 -4 2.5 3 46197.72429938506 1.8796191877409
10 60 -5 -4 3 3.5 38034.27060554042 0.9953213516419055
10 60 -5 -4 3.5 4 31821.56297574332 0.785027099384024
10 60 -5 -4 4 4.5 26981.34810802877 0.6370960945532715
10 60 -5 -4 4.5 5 23130.87151633405 0.5688505232901662
10 60 -5 -4 5 5.5 20012.04601302426 0.8552912984596333
10 60 -5 -4 5.5 6 17446.681008062 0.3667532847030088
10 60 -5 -4 6 6.5 15308.68644766667 0.3073422441593721
10 60 -5 -4 6.5 7 13506.82151213635 0.2582918102671101
10 60 -5 -4 7 7.5 11973.66177804867 0.2167006310701254
10 60 -5 -4 7.5 8 10658.38135121666 0.1820966390005196
10 60 -5 -4 8 8.5 9522.010085742055 0.1536400604527444
10 60 -5 -4 8.5 9 8534.174803217753 0.1299649837419565
10 60 -5 -4 9 9.5 7670.844584019833 0.1104102701592637
10 60 -5 -4 9.5 10 6912.778425678074 0.09378044835102628
10 60 -5 -4 10 10.5 6244.358978237383 0.08022737824194337
10 60 -5 -4 10.5 11 5652.792096251372 0.06938595102292311
10 60 -5 -4 11 11.5 5127.49688134853 0.2505924580855208
10 60 -5 -4 11.5 12 4659.635693497972 0.1881702057562507
10 60 -5 -4 12 12.5 4241.781191942522 0.1384087113747228
10 60 -5 -4 12.5 13 3867.64836172636 0.09880399575013143
10 60 -5 -4 13 13.5 3531.882232347223 0.0675817363535316
10 60 -5 -4 13.5 14 3229.894960493445 0.0427206001659215
10 60 -5 -4 14 14.5 2957.741676641505 0.02850501615102985
10 60 -5 -4 14.5 15 2712.013127169661 0.02537724993362644
10 60 -5 -4 15 16 4778.122312739178 0.06865870909405203
10 60 -5 -4 16 17 4045.180836913589 0.1797557458462506
10 60 -5 -4 17 18 3439.031071610193 0.0284288116913558
10 60 -5 -4 18 19 2934.976846798706 0.02340660409890916
10 60 -5 -4 19 20 2513.713067597619 0.01942376016768321
10 60 -5 -4 20 21 2160.011533038648 0.01626914057942486
10 60 -5 -4 21 22 1861.763957449451 0.01366992513908372
10 60 -5 -4 22 23 1609.278179697927 0.011627703813474
10 60 -5 -4 23 24 1394.743004192954 0.01229036144650308
10 60 -5 -4 24 25 1211.824903586603 0.01286780482701033
10 60 -5 -4 25 26 1055.360559822872 0.01356297797019579
10 60 -5 -4 26 27 921.1195594923365 0.01419108240747846
10 60 -5 -4 27 28 805.6184732447291 0.01431387354534763
10 60 -5 -4 28 29 705.9753190900431 0.01432906190450467
10 60 -5 -4 29 30 619.7968724162835 0.01402232529790126
10 60 -5 -4 30 31 545.0869048757664 0.01381336897827623
10 60 -5 -4 31 32 480.1737493878404 0.01360344353940945
10 60 -5 -4 32 33 423.6532654853077 0.0133794756120551
10 60 -5 -4 33 34 374.3416474712044 0.01315261739250673
10 60 -5 -4 34 35 331.2378068707776 0.01284200975146632
10 60 -5 -4 35 36 293.4922435265692 0.01233812879667084
10 60 -5 -4 36 37 260.3819371989906 0.01186191552875471
10 60 -5 -4 37 38 231.2902302102694 0.01127647171429658
10 60 -5 -4 38 39 205.6898248359361 0.001259540620964117
10 60 -5 -4 39 40 183.1283357980037 0.001116321837855594
10 60 -5 -4 40 42 308.8367211979033 0.001873463581773649
10 60 -5 -4 42 44 246.3024723731513 0.00148769473497623
10 60 -5 -4 44 46 197.1649537647963 0.001184247778013514
10 60 -5 -4 46 48 158.3767289258788 0.0009505049164033608
10 60 -5 -4 48 50 127.6274071642255 0.005654302783639764
10 60 -5 -4 50 52 103.1550036843963 0.002473739102669015
10 60 -5 -4 52 54 83.60599083371953 0.0004993316288874894
10 60 -5 -4 54 56 67.93625010142095 0.003115018492366062
10 60 -5 -4 56 58 55.3352720185602 0.0003306863530383453
10 60 -5 -4 58 60 45.17149316618553 0.0002702742201918795
10 60 -5 -4 60 65 80.27206916381191 0.0004830358404461776
10 60 -5 -4 65 70 49.09297840050148 0.0002974966998650075
10 60 -5 -4 70 80 49.09927732885636 0.0009431101308621237
10 60 -5 -4 80 90 19.07390820950268 0.000519815024446757
10 60 -5 -4 90 100 7.46844592590351 0.000236711650232202
10 60 -4 -3.5 0 0.5 -339821.0730516621 5.591407821630128
10 60 -4 -3.5 0.5 1 36873.64126691471 0.2421282765790238
10 60 -4 -3.5 1 1.5 48220.24271944617 2.133596074585512
10 60 -4 -3.5 1.5 2 40015.40094102393 1.355317234621907
10 60 -4 -3.5 2 2.5 32413.9366295 0.9538571623015741
10 60 -4 -3.5 2.5 3 26550.4867045567 0.7521724527396145
10 60 -4 -3.5 3 3.5 22081.73022881156 0.6246794896978827
10 60 -4 -3.5 3.5 4 18626.52326700295 0.5131047108552593
10 60 -4 -3.5 4 4.5 15904.29715827974 0.41554534576062
10 60 -4 -3.5 4.5 5 13720.29308043613 0.3330131189995882
10 60 -4 -3.5 5 5.5 11939.40334210312 0.2671390015257202
10 60 -4 -3.5 5.5 6 10466.46888852808 0.2176446183057124
10 60 -4 -3.5 6 6.5 9233.211970791517 0.1795830484279577
10 60 -4 -3.5 6.5 7 8189.650812523423 0.1499686990637201
10 60 -4 -3.5 7 7.5 7298.517955471267 0.1256066381538403
10 60 -4 -3.5 7.5 8 6531.513316998609 0.1055317048885627
10 60 -4 -3.5 8 8.5 5866.80746909463 0.08894935345142585
10 60 -4 -3.5 8.5 9 5287.285084429846 0.07509347576251457
10 60 -4 -3.5 9 9.5 4779.359221012813 0.06369405448367615
10 60 -4 -3.5 9.5 10 4332.095443133968 0.05433102654023969
10 60 -4 -3.5 10 10.5 3936.598676714694 0.04667158022721196
10 60 -4 -3.5 10.5 11 3585.56295888683 0.04046046723578911
10 60 -4 -3.5 11 11.5 3272.92625362165 0.155358868481926
10 60 -4 -3.5 11.5 12 2993.619181848092 0.1196502599300402
10 60 -4 -3.5 12 12.5 2743.375299873013 0.0910937513413046
10 60 -4 -3.5 12.5 13 2518.577706619707 0.06841002916735306
10 60 -4 -3.5 13 13.5 2316.140574204078 0.05024217584650614
10 60 -4 -3.5 13.5 14 2133.419888731881 0.03577344009136141
10 60 -4 -3.5 14 14.5 1968.139150103419 0.02423319877448193
10 60 -4 -3.5 14.5 15 1818.329575477066 0.01521971625652441
10 60 -4 -3.5 15 16 3240.78014627347 0.04151366227961262
10 60 -4 -3.5 16 17 2788.38126494381 0.02889426836736675
10 60 -4 -3.5 17 18 2410.806372357343 0.06942156081777284
10 60 -4 -3.5 18 19 2093.736852037513 0.09149873526575902
10 60 -4 -3.5 19 20 1825.964246668435 0.01221304010641688
10 60 -4 -3.5 20 21 1598.633101893813 0.01039832871811086
10 60 -4 -3.5 21 22 1404.685383122948 0.008833038470356769
10 60 -4 -3.5 22 23 1238.460408217663 0.007627044282344286
10 60 -4 -3.5 23 24 1095.383015281404 0.0065413987415468
10 60 -4 -3.5 24 25 971.7304232023957 0.005715007595085808
10 60 -4 -3.5 25 26 864.459420339485 0.004961650750601621
10 60 -4 -3.5 26 27 771.0664714232914 0.004357903983304823
10 60 -4 -3.5 27 28 689.4804389890437 0.003836293115227818
10 60 -4 -3.5 28 29 617.9802804817044 0.004592303514414198
10 60 -4 -3.5 29 30 555.1292630862031 0.005735746365871819
10 60 -4 -3.5 30 31 499.7221948435908 0.006362691478841498
10 60 -4 -3.5 31 32 450.7442639459194 0.006990434031365567
10 60 -4 -3.5 32 33 407.3375048063878 0.007648610335422745
10 60 -4 -3.5 33 34 368.7734811012616 0.007925926063990119
10 60 -4 -3.5 34 35 334.4315555105916 0.008034165221090461
10 60 -4 -3.5 35 36 303.7811709384423 0.008257715560773704
10 60 -4 -3.5 36 37 276.3672878649347 0.008448257174961782
10 60 -4 -3.5 37 38 251.7983943950051 0.008536692353686703
10 60 -4 -3.5 38 39 229.7365678460008 0.008654156819460468
10 60 -4 -3.5 39 40 209.889277306436 0.008778698971440235
10 60 -4 -3.5 40 42 367.8583270663228 0.01771122494147903
10 60 -4 -3.5 42 44 309.2887214030556 0.001519103836926661
10 60 -4 -3.5 44 46 261.1905847254565 0.001275801560893797
10 60 -4 -3.5 46 48 221.4644171509156 0.0010767613337066
10 60 -4 -3.5 48 50 188.4790428691729 0.0009135510849489492
10 60 -4 -3.5 50 52 160.9564995446767 0.0007786806794172207
10 60 -4 -3.5 52 54 137.8879863275 0.0006663241540536546
10 60 -4 -3.5 54 56 118.471445193036 0.000572366094175436
10 60 -4 -3.5 56 58 102.0649531632746 0.000493109853181295
10 60 -4 -3.5 58 60 88.15159213121105 0.0004262805542367687
10 60 -4 -3.5 60 65 172.2972988828821 0.0008355646277493634
10 60 -4 -3.5 65 70 121.6423710018488 0.0005935401459851164
10 60 -4 -3.5 70 80 149.3392975674701 0.0007378885746902597
10 60 -4 -3.5 80 90 78.51589697654049 0.0003964609055628898
10 60 -4 -3.5 90 100 42.28408109743965 0.000218882009782817
10 60 -3.5 -3.25 0 0.5 -191261.8836237774 2.886527537513757
10 60 -3.5 -3.25 0.5 1 16425.20268001202 0.01763698249851586
10 60 -3.5 -3.25 1 1.5 24419.82444370618 1.079806135356193
10 60 -3.5 -3.25 1.5 2 20671.22854906302 0.8488428472664964
10 60 -3.5 -3.25 2 2.5 16896.15055987422 0.6846099775721086
10 60 -3.5 -3.25 2.5 3 13914.62567575879 0.5635292934057361
10 60 -3.5 -3.25 3 3.5 11615.1521446612 0.478808399708214
10 60 -3.5 -3.25 3.5 4 9824.004461581031 0.4153634581252845
10 60 -3.5 -3.25 4 4.5 8405.529308217188 0.3665197948466812
10 60 -3.5 -3.25 4.5 5 7263.145096870096 0.3311634762740141
10 60 -3.5 -3.25 5 5.5 6328.856600355294 0.3055674921633909
10 60 -3.5 -3.25 5.5 6 5554.317546056939 0.1180438162118662
10 60 -3.5 -3.25 6 6.5 4904.584898020938 0.09737683393996122
10 60 -3.5 -3.25 6.5 7 4353.949326364011 0.08026603349117067
10 60 -3.5 -3.25 7 7.5 3883.151957281126 0.06664550446657813
10 60 -3.5 -3.25 7.5 8 3477.517958665207 0.05582819855681009
10 60 -3.5 -3.25 8 8.5 3125.685555769619 0.04682672780018038
10 60 -3.5 -3.25 8.5 9 2818.728144605536 0.03948580564519943
10 60 -3.5 -3.25 9 9.5 2549.536731835245 0.03362651710904174
10 60 -3.5 -3.25 9.5 10 2312.381316193964 0.02894669453871757
10 60 -3.5 -3.25 10 10.5 2102.591127202194 0.02484871218439366
10 60 -3.5 -3.25 10.5 11 1916.321091870587 0.02145994878492274
10 60 -3.5 -3.25 11 11.5 1750.378160451861 0.08218948302987883
10 60 -3.5 -3.25 11.5 12 1602.089163249624 0.06319065957563907
10 60 -3.5 -3.25 12 12.5 1469.200112721981 0.04798870989748139
10 60 -3.5 -3.25 12.5 13 1349.798915780857 0.0358988818720718
10 60 -3.5 -3.25 13 13.5 1242.253684670043 0.02626443059943995
10 60 -3.5 -3.25 13.5 14 1145.164731965926 0.01862564849420778
10 60 -3.5 -3.25 14 14.5 1057.325897549134 0.01255941157864982
10 60 -3.5 -3.25 14.5 15 977.6936369590992 0.007998389043450516
10 60 -3.5 -3.25 15 16 1744.899596063071 0.0202396065699304
10 60 -3.5 -3.25 16 17 1504.27477456222 0.01627811837443005
10 60 -3.5 -3.25 17 18 1303.347104539058 0.03735850675843722
10 60 -3.5 -3.25 18 19 1134.521084349512 0.04850332626142517
10 60 -3.5 -3.25 19 20 991.8487395226382 0.006457013070303219
10 60 -3.5 -3.25 20 21 870.630986942894 0.005480933483795525
10 60 -3.5 -3.25 21 22 767.1250938868091 0.004660951059918261
10 60 -3.5 -3.25 22 23 678.3273355228254 0.004022093228400081
10 60 -3.5 -3.25 23 24 601.8118689061039 0.003471740007739754
10 60 -3.5 -3.25 24 25 535.6054218744191 0.003025272732429585
10 60 -3.5 -3.25 25 26 478.094580752776 0.002639929646363726
10 60 -3.5 -3.25 26 27 427.9523014795694 0.002319134282515734
10 60 -3.5 -3.25 27 28 384.0811898146112 0.002046804904068722
10 60 -3.5 -3.25 28 29 345.5695963822211 0.001810590371405851
10 60 -3.5 -3.25 29 30 311.6562956887112 0.00161174112253093
10 60 -3.5 -3.25 30 31 281.7029428552814 0.001433025018911849
10 60 -3.5 -3.25 31 32 255.1719459823053 0.001288439468197566
10 60 -3.5 -3.25 32 33 231.6087185406788 0.001150709947580708
10 60 -3.5 -3.25 33 34 210.6273368548615 0.001039716035080573
10 60 -3.5 -3.25 34 35 191.8990038332622 0.0009367297439268896
10 60 -3.5 -3.25 35 36 175.1426078859572 0.0008480339442371587
10 60 -3.5 -3.25 36 37 160.1169232749219 0.0007693073544317031
10 60 -3.5 -3.25 37 38 146.6143272408333 0.0006992043075513266
10 60 -3.5 -3.25 38 39 134.4555736508615 0.0006371596078054154
10 60 -3.5 -3.25 39 40 123.4854359415888 0.0005815445466481606
10 60 -3.5 -3.25 40 42 218.1583745750459 0.001019516296395295
10 60 -3.5 -3.25 42 44 185.4848863569492 0.0008588054592166827
10 60 -3.5 -3.25 44 46 158.4707218495801 0.0007281534799119527
10 60 -3.5 -3.25 46 48 135.9977402212162 0.000621066595499542
10 60 -3.5 -3.25 48 50 117.1956728222611 0.0005325782487233255
10 60 -3.5 -3.25 50 52 101.3814504629544 0.0004588409043435604
10 60 -3.5 -3.25 52 54 88.01469642270901 0.0003972736016493172
10 60 -3.5 -3.25 54 56 76.66468354762959 0.0003452535561052628
10 60 -3.5 -3.25 56 58 66.98578244468645 0.0003012801983857116
10 60 -3.5 -3.25 58 60 58.69876977317596 0.0002637498309496777
10 60 -3.5 -3.25 60 65 117.6887328393794 0.0005288317194498404
10 60 -3.5 -3.25 65 70 86.43647598078479 0.0003893189713579659
10 60 -3.5 -3.25 70 80 112.729372908693 0.0006397387331134041
10 60 -3.5 -3.25 80 90 64.99503775404796 0.0005422784885524834
10 60 -3.5 -3.25 90 100 38.7141517353348 0.0004363983656645587
10 60 -3.25 -3 0 0.5 -205590.1071704309 3.937038779055001
10 60 -3.25 -3 0.5 1 15037.83722177302 0.2114904704885703
10 60 -3.25 -3 1 1.5 24583.40377641135 1.060862058955536
10 60 -3.25 -3 1.5 2 21079.77427008062 0.736500554241502
10 60 -3.25 -3 2 2.5 17328.46000227897 0.5801112302724505
10 60 -3.25 -3 2.5 3 14318.39220280005 0.4558404007948411
10 60 -3.25 -3 3 3.5 11978.83584523662 0.3593343823940813
10 60 -3.25 -3 3.5 4 10147.73075805562 0.2968861132230813
10 60 -3.25 -3 4 4.5 8692.805281343142 0.2587302474512398
10 60 -3.25 -3 4.5 5 7518.187593060469 0.2298256348394716
10 60 -3.25 -3 5 5.5 6555.712540343333 0.2067194095652667
10 60 -3.25 -3 5.5 6 5756.607377027379 0.1887129917513448
10 60 -3.25 -3 6 6.5 5085.458691037423 0.1738175933242019
10 60 -3.25 -3 6.5 7 4516.116980476998 0.1617642763358162
10 60 -3.25 -3 7 7.5 4028.938071868784 0.1517550163730448
10 60 -3.25 -3 7.5 8 3608.918082313533 0.1435333788977005
10 60 -3.25 -3 8 8.5 3244.416008333545 0.1367122902584015
10 60 -3.25 -3 8.5 9 2926.271375079279 0.1315668262777763
10 60 -3.25 -3 9 9.5 2647.174217040186 0.1269336529030625
10 60 -3.25 -3 9.5 10 2401.227526839445 0.02988601064043905
10 60 -3.25 -3 10 10.5 2183.614714513297 0.02557994836251964
10 60 -3.25 -3 10.5 11 1990.368821551429 0.02212105701937617
10 60 -3.25 -3 11 11.5 1818.191346327823 0.08553294512898901
10 60 -3.25 -3 11.5 12 1664.31868190849 0.06562097306300529
10 60 -3.25 -3 12 12.5 1526.418855498107 0.04973417832457017
10 60 -3.25 -3 12.5 13 1402.512077152052 0.03708771216588502
10 60 -3.25 -3 13 13.5 1290.907732911077 0.02704883137516845
10 60 -3.25 -3 13.5 14 1190.155013470674 0.01906012027166071
10 60 -3.25 -3 14 14.5 1099.003529475004 0.01276210940659439
10 60 -3.25 -3 14.5 15 1016.370523742009 0.008117160224060171
10 60 -3.25 -3 15 16 1814.331985569796 0.01881007861175021
10 60 -3.25 -3 16 17 1564.669470648381 0.01876726134400997
10 60 -3.25 -3 17 18 1356.213565157147 0.04040001175258112
10 60 -3.25 -3 18 19 1181.076793801886 0.05164354847147479
10 60 -3.25 -3 19 20 1033.081482696484 0.00658358945679538
10 60 -3.25 -3 20 21 907.3474155912548 0.005624643908390681
10 60 -3.25 -3 21 22 799.9873642759947 0.004785576698964178
10 60 -3.25 -3 22 23 707.88266312927 0.004121778846638335
10 60 -3.25 -3 23 24 628.5139259975144 0.003565021673921365
10 60 -3.25 -3 24 25 559.8333360273105 0.003096168338970529
10 60 -3.25 -3 25 26 500.1662679425395 0.002711949926094803
