#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -473042.2387763495 15.8453784037265
10 60 -5 -4 0.5 1 69735.41302369314 0.3355519198375987
10 60 -5 -4 1 1.5 77691.33167320699 2.893508828492486
10 60 -5 -4 1.5 2 62587.99688417225 2.025567305172444
10 60 -5 -4 2 2.5 49979.21067956487 1.489260397094768
10 60 -5 -4 2.5 3 40566.40201118845 1.22214482864365
10 60 -5 -4 3 3.5 33511.36216697723 0.9092598300194368
10 60 -5 -4 3.5 4 28112.25690112758 0.7239341553249687
10 60 -5 -4 4 4.5 23888.32920826082 0.8528799581617932
10 60 -5 -4 4.5 5 20516.80787723034 0.4774517744626792
10 60 -5 -4 5 5.5 17778.28699386873 0.3949142640376522
10 60 -5 -4 5.5 6 15520.32809173864 0.3278865395277535
10 60 -5 -4 6 6.5 13634.5966011287 0.2719945082244521
10 60 -5 -4 6.5 7 12042.40174848875 0.2250376534029783
10 60 -5 -4 7 7.5 10685.40314293997 0.1867887787484506
10 60 -5 -4 7.5 8 9519.521352041686 0.1554139732506883
10 60 -5 -4 8 8.5 8510.873941913705 0.1312958362068457
10 60 -5 -4 8.5 9 7632.991832726276 0.1118538282680674
10 60 -5 -4 9 9.5 6864.903867307853 0.09546046645937167
10 60 -5 -4 9.5 10 6189.777812411253 0.08204527619909641
10 60 -5 -4 10 10.5 5593.936048293591 0.07022488891107059
10 60 -5 -4 10.5 11 5066.150653039999 0.06004873183519521
10 60 -5 -4 11 11.5 4597.123266799274 0.05207920750035555
10 60 -5 -4 11.5 12 4179.079095742793 0.1770991094326746
10 60 -5 -4 12 12.5 3805.471415291329 0.1313797695688663
10 60 -5 -4 12.5 13 3470.751513863307 0.09461209962591965
10 60 -5 -4 13 13.5 3170.191484136865 0.06550360794335575
10 60 -5 -4 13.5 14 2899.735339732019 0.042554431550343
10 60 -5 -4 14 14.5 2655.886102088582 0.02442514704944188
10 60 -5 -4 14.5 15 2435.619610141252 0.02151651964732082
10 60 -5 -4 15 16 4291.98878059093 0.04464514304709155
10 60 -5 -4 16 17 3634.350037346444 0.1492016544902981
10 60 -5 -4 17 18 3090.191777785286 0.02407548112341829
10 60 -5 -4 18 19 2637.514328238732 0.01950052357733512
10 60 -5 -4 19 20 2259.076478643076 0.01625976921968686
10 60 -5 -4 20 21 1941.263870465215 0.01366670432958017
10 60 -5 -4 21 22 1673.249984224167 0.01275733522561495
10 60 -5 -4 22 23 1446.341996458268 0.01314825697227207
10 60 -5 -4 23 24 1253.536468436784 0.01136036219850212
10 60 -5 -4 24 25 1089.153977905752 0.01203512042843613
10 60 -5 -4 25 26 948.553769911266 0.01377675819242086
10 60 -5 -4 26 27 827.932602945887 0.01279867628193188
10 60 -5 -4 27 28 724.1626612820123 0.01180640889560891
10 60 -5 -4 28 29 634.6520785255381 0.01154851847002192
10 60 -5 -4 29 30 557.245171579703 0.01092442358810786
10 60 -5 -4 30 31 490.1473701022089 0.01033734063668135
10 60 -5 -4 31 32 431.8556007999552 0.01011323563290034
10 60 -5 -4 32 33 381.1053787744424 0.00990235562773023
10 60 -5 -4 33 34 336.8317477685257 0.009194631805144127
10 60 -5 -4 34 35 298.1337468363245 0.008217860053093773
10 60 -5 -4 35 36 264.2475174476227 0.007726106472034644
10 60 -5 -4 36 37 234.5229036284381 0.007195439289887418
10 60 -5 -4 37 38 208.4052796939029 0.006720069793175298
10 60 -5 -4 38 39 185.4207301749228 0.006128631586165056
