#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -482200.906658142 23.09442373074125
10 60 -5 -4 0.5 1 65897.88201158737 0.1566530273412354
10 60 -5 -4 1 1.5 75977.34961188669 2.597114992837305
10 60 -5 -4 1.5 2 61653.28723289788 1.826140776516695
10 60 -5 -4 2 2.5 49417.86188890376 2.424112806620542
10 60 -5 -4 2.5 3 40210.49110267545 1.076357172183634
10 60 -5 -4 3 3.5 33278.38181020034 0.8596784752880922
10 60 -5 -4 3.5 4 27957.21540173906 0.7205659069513786
10 60 -5 -4 4 4.5 23784.72367739588 1.179844034151756
10 60 -5 -4 4.5 5 20448.16706321749 0.4654368296978646
10 60 -5 -4 5 5.5 17733.88121436257 0.3864994744399155
10 60 -5 -4 5.5 6 15492.97937339952 0.3217314304329193
10 60 -5 -4 6 6.5 13619.33875360768 0.2673761553378426
10 60 -5 -4 6.5 7 12035.75207412084 0.2218645152206591
10 60 -5 -4 7 7.5 10684.85567285734 0.184673552204913
10 60 -5 -4 7.5 8 9523.276042964984 0.1540115457755746
10 60 -5 -4 8 8.5 8517.597399912438 0.1304089021996333
10 60 -5 -4 8.5 9 7641.721217635715 0.1111820657897624
10 60 -5 -4 9 9.5 6874.916912392876 0.09510030246747192
10 60 -5 -4 9.5 10 6200.545852512101 0.08179710386502848
10 60 -5 -4 10 10.5 5605.074909763401 0.07011353814777976
10 60 -5 -4 10.5 11 5077.373133498446 0.05997766794553172
10 60 -5 -4 11 11.5 4608.225321482782 0.0520731852739118
10 60 -5 -4 11.5 12 4189.917751389313 0.1820672770099918
10 60 -5 -4 12 12.5 3815.944121746586 0.135339875864247
10 60 -5 -4 12.5 13 3480.791884436488 0.09782915761797994
10 60 -5 -4 13 13.5 3179.759423643324 0.06830570966894811
10 60 -5 -4 13.5 14 2908.807681617282 0.0448020208377784
10 60 -5 -4 14 14.5 2664.454451623371 0.02625015996136426
10 60 -5 -4 14.5 15 2443.686629416876 0.02159381671162919
10 60 -5 -4 15 16 4306.661989748242 0.03787432521585288
10 60 -5 -4 16 17 3647.189596690267 0.1436837596584155
10 60 -5 -4 17 18 3101.368301780959 0.02417904653339065
10 60 -5 -4 18 19 2647.207294173627 0.01959088575949863
10 60 -5 -4 19 20 2267.463939462304 0.01633597046338764
10 60 -5 -4 20 21 1948.510860090191 0.0137311966436755
10 60 -5 -4 21 22 1679.506199190587 0.01301984873225592
10 60 -5 -4 22 23 1451.741616506967 0.01325911638082289
10 60 -5 -4 23 24 1258.196721711137 0.01149163793456864
10 60 -5 -4 24 25 1093.177276184919 0.01215607268341046
10 60 -5 -4 25 26 952.0291702251646 0.01375071891538937
10 60 -5 -4 26 27 830.9367292418333 0.01281220005682826
10 60 -5 -4 27 28 726.7614206138001 0.01183753510872521
10 60 -5 -4 28 29 636.9022157298583 0.01152223444000811
10 60 -5 -4 29 30 559.1953744514494 0.01088665043005221
10 60 -5 -4 30 31 491.839289603058 0.01031221303566099
10 60 -5 -4 31 32 433.3249745404055 0.01009401417758227
10 60 -5 -4 32 33 382.3828675028884 0.009881323902675376
10 60 -5 -4 33 34 337.9436278394976 0.009187809426975946
10 60 -5 -4 34 35 299.1025583045827 0.008213464212019517
10 60 -5 -4 35 36 265.0926059505269 0.00771139408578847
10 60 -5 -4 36 37 235.26090011062 0.007184448462083992
10 60 -5 -4 37 38 209.0504824426922 0.006724579331205405
10 60 -5 -4 38 39 185.9854434181712 0.00614476245766582
10 60 -5 -4 39 40 165.6577492496463 0.005532649889886443
10 60 -5 -4 40 42 279.5744417114329 0.009416877454611949
10 60 -5 -4 42 44 223.2119472643946 0.007102854891428478
10 60 -5 -4 44 46 178.9055055500774 0.004463199172676013
10 60 -5 -4 46 48 143.9112556902245 0.002252576491997615
10 60 -5 -4 48 50 116.1496753653048 0.0006169191807288144
10 60 -5 -4 50 52 94.035876595619 0.001143191283404121
10 60 -5 -4 52 54 76.35358275134942 0.002780958260430566
10 60 -5 -4 54 56 62.16426643084505 0.0003260764207269062
10 60 -5 -4 56 58 50.73982381077111 0.0002666113797644698
10 60 -5 -4 58 60 41.51253870692217 0.0002187447619732552
10 60 -5 -4 60 65 74.07189000742638 0.0003884420533495359
10 60 -5 -4 65 70 45.61814746961898 0.0002399987033570028
10 60 -5 -4 70 80 46.17376794856157 0.0008765618706050304
10 60 -5 -4 80 90 18.34793189672028 0.0004757342016610266
10 60 -5 -4 90 100 7.407481932101393 0.0002126623831788521
10 60 -4 -3.5 0 0.5 -317522.1930461137 4.702384154952597
10 60 -4 -3.5 0.5 1 28148.43489613478 0.9471893092922983
10 60 -4 -3.5 1 1.5 41159.88662718306 1.392112947600253
10 60 -4 -3.5 1.5 2 34782.04034805772 1.101729449670529
10 60 -4 -3.5 2 2.5 28423.90609540372 0.9006037704566552
10 60 -4 -3.5 2.5 3 23415.05632120901 0.72883667970018
10 60 -4 -3.5 3 3.5 19555.9457110754 0.5824252530001104
10 60 -4 -3.5 3.5 4 16551.11846047359 0.4638743368523137
10 60 -4 -3.5 4 4.5 14171.57409384356 0.3726368362567882
10 60 -4 -3.5 4.5 5 12254.8078803207 0.3001922489820572
10 60 -4 -3.5 5 5.5 10686.67042394319 0.2415052712440229
10 60 -4 -3.5 5.5 6 9385.990883504452 0.1931339139682677
10 60 -4 -3.5 6 6.5 8294.281272808003 0.1561052107135765
10 60 -4 -3.5 6.5 7 7368.421373946708 0.1274797914102237
10 60 -4 -3.5 7 7.5 6576.215064753625 0.1058124998689891
10 60 -4 -3.5 7.5 8 5893.108560178831 0.08946481055590993
10 60 -4 -3.5 8 8.5 5300.07323784519 0.07632627724069607
10 60 -4 -3.5 8.5 9 4782.243959986735 0.06549515492133651
10 60 -4 -3.5 9 9.5 4327.692766971898 0.0560980232703514
10 60 -4 -3.5 9.5 10 3926.859870831164 0.0480447222003022
10 60 -4 -3.5 10 10.5 3571.968960543471 0.04127222097622507
10 60 -4 -3.5 10.5 11 3256.561507559224 0.03564600497338688
10 60 -4 -3.5 11 11.5 2975.309342173328 0.1473388642443751
10 60 -4 -3.5 11.5 12 2723.766608284888 0.115459363674745
10 60 -4 -3.5 12 12.5 2498.147897377753 0.08931318831537283
10 60 -4 -3.5 12.5 13 2295.246732815314 0.06738501111522055
10 60 -4 -3.5 13 13.5 2112.346040017439 0.05008401340501223
10 60 -4 -3.5 13.5 14 1947.105484971507 0.03708486200002881
10 60 -4 -3.5 14 14.5 1797.492761717089 0.02623636108614846
10 60 -4 -3.5 14.5 15 1661.756516141016 0.01726979999921241
10 60 -4 -3.5 15 16 2964.424894925246 0.06081544141534323
10 60 -4 -3.5 16 17 2553.523017199045 0.01825296554488887
10 60 -4 -3.5 17 18 2210.040077208349 0.04874310586501451
10 60 -4 -3.5 18 19 1921.189476666794 0.07082556760951775
10 60 -4 -3.5 19 20 1676.915883404699 0.08281659700287491
10 60 -4 -3.5 20 21 1469.272508975846 0.009020727168945086
10 60 -4 -3.5 21 22 1291.914776522548 0.007645645220918595
10 60 -4 -3.5 22 23 1139.740700392953 0.006569319233676651
10 60 -4 -3.5 23 24 1008.623743519633 0.005669865966410725
10 60 -4 -3.5 24 25 895.2005480629621 0.004935000209798091
10 60 -4 -3.5 25 26 796.7173520634525 0.006641938804818892
10 60 -4 -3.5 26 27 710.9057542786545 0.007716976412211807
10 60 -4 -3.5 27 28 635.8861910265924 0.007879674466721553
10 60 -4 -3.5 28 29 570.0953461482505 0.008454685822016472
10 60 -4 -3.5 29 30 512.2264198139857 0.009037566299184618
10 60 -4 -3.5 30 31 461.1819541492839 0.00945589751222542
10 60 -4 -3.5 31 32 416.0370359681841 0.0102022441109284
10 60 -4 -3.5 32 33 376.0084469179064 0.0107525545037106
10 60 -4 -3.5 33 34 340.4307024779297 0.01074835454852519
10 60 -4 -3.5 34 35 308.7359638095773 0.01066784684843469
10 60 -4 -3.5 35 36 280.4385704441601 0.01065118627900574
10 60 -4 -3.5 36 37 255.1221618633633 0.01062417629051993
10 60 -4 -3.5 37 38 232.4278083894336 0.0106509446019345
10 60 -4 -3.5 38 39 212.0449431118824 0.0009908837772911738
10 60 -4 -3.5 39 40 193.7049785075806 0.0008999114079131232
10 60 -4 -3.5 40 42 339.4250323537502 0.001567625655809479
10 60 -4 -3.5 42 44 285.2885505277197 0.001307567496155571
10 60 -4 -3.5 44 46 240.8296926115033 0.001097354574341125
10 60 -4 -3.5 46 48 204.1123250883747 0.0009257765449603994
10 60 -4 -3.5 48 50 173.6310430829192 0.0007849669329402786
10 60 -4 -3.5 50 52 148.2048377878648 0.0006687984401878566
10 60 -4 -3.5 52 54 126.9011545171213 0.0005718685315514449
10 60 -4 -3.5 54 56 108.9777281675708 0.0004908301957868844
10 60 -4 -3.5 56 58 93.84028159590969 0.0004224047929852759
10 60 -4 -3.5 58 60 81.00993577596803 0.0003648427284588251
10 60 -4 -3.5 60 65 158.2232258276705 0.0007143786007475228
10 60 -4 -3.5 65 70 111.6071805605751 0.0005068044857665654
10 60 -4 -3.5 70 80 136.9339567827524 0.0006274739894251979
10 60 -4 -3.5 80 90 72.03875159904339 0.0003359777834930355
10 60 -4 -3.5 90 100 38.90861866193325 0.0003688826140901824
10 60 -3.5 -3.25 0 0.5 -178170.1486462529 2.516527483734535
10 60 -3.5 -3.25 0.5 1 12455.13629693683 0.07216023971341201
10 60 -3.5 -3.25 1 1.5 20993.37878262343 0.8690992265364912
10 60 -3.5 -3.25 1.5 2 18081.99150486811 0.7546425923792413
10 60 -3.5 -3.25 2 2.5 14900.77061903321 0.4999300726285583
10 60 -3.5 -3.25 2.5 3 12335.15850929334 0.3512844530032453
10 60 -3.5 -3.25 3 3.5 10335.83676950208 0.2869506199804164
10 60 -3.5 -3.25 3.5 4 8768.259005825121 0.2369831398409588
10 60 -3.5 -3.25 4 4.5 7520.971876188823 0.1931774007480271
10 60 -3.5 -3.25 4.5 5 6512.798236928817 0.1695663113523551
10 60 -3.5 -3.25 5 5.5 5685.802463339121 0.1592934157379204
10 60 -3.5 -3.25 5.5 6 4998.461643920992 0.1477719078957307
10 60 -3.5 -3.25 6 6.5 4420.616304892153 0.1484033922060917
10 60 -3.5 -3.25 6.5 7 3929.928161000926 0.1435120565165562
10 60 -3.5 -3.25 7 7.5 3509.64938871512 0.1441107597966038
10 60 -3.5 -3.25 7.5 8 3146.947178321294 0.1455368523288598
